BorrowerState,LoanNumber,CurrentApprovalAmount,AverageLoanAmount
AK,2662,1337402360.8,502405.094214876
AL,10912,5590375046.64,512314.4287609971
AR,5857,2782731088.43,475112.01782994706
AS,20,5637092.33,281854.6165
AZ,15757,8079195825.57,512736.93124135304
CA,129086,68326974973.99,529313.5969352989
CO,19669,9986979117.78,507752.25572118565
CT,12882,6661588617.2,517123.78646172956
DC,4383,2505524482.22,571646.0146520648
DE,2990,1514370147.93,506478.3103444816
FL,60003,28157123482.19,469261.9282734196
GA,25787,13026358871.85,505152.1647283515
GU,443,197068609.01,444850.1332054176
HI,4979,2603856979.39,522967.86089375376
IA,8295,4639390395.23,559299.6257058468
ID,4415,2124151174.07,481121.4437304643
IL,40763,23147914302.02,567865.8170895175
IN,16594,9274560286.17,558910.4668054718
KS,8201,4708930723.22,574189.8211462017
KY,9178,5032281693.91,548298.2887241229
LA,13669,7402681040.61,541567.1256573268
MA,27179,14701200338.95,540902.9154475882
MD,18955,10090857637.49,532358.6197567924
ME,4185,2065070740.86,493445.8162150537
MI,29791,16375617385.11,549683.3736735927
MN,19720,11337809635.8,574939.636703854
MO,16339,8764807664.57,536434.7674013097
MP,82,35852052.72,437220.1551219512
MS,5504,2676959592.35,486366.2050054506
MT,3142,1464440837.44,466085.56252068747
NC,22796,11063203763.17,485313.3779246359
ND,3222,1743889636.37,541244.4557324643
NE,5804,3061837011.54,527539.112946244
NH,5069,2481837656.86,489610.9009390413
NJ,32515,17419698272.72,535743.4498760572
NM,4482,2228997937.55,497322.1636657743
NV,8254,4106170935.2,497476.48839350615
NY,73819,41783369736.5,566024.597143012
Not Available,8,1974971.0,246871.375
OH,32639,18553367337.74,568441.6599080855
OK,9995,5155510889.55,515808.99345172587
OR,13403,6771894551.98,505252.14892039093
PA,38500,21318776705.2,553734.4598753247
PR,2952,1483223849.4,502447.1034552846
RI,3786,1933839602.74,510787.0054780771
SC,10741,5084615657.68,473383.82438134257
SD,2695,1413573255.63,524516.9779703155
TN,15864,8199268295.1,516847.4719553707
TX,76061,40131692640.16,527625.0988043807
UT,9258,4775628367.05,515838.0176117952
VA,23224,12184828287.83,524665.3585872373
VI,290,112532458.48,388042.9602758621
VT,2265,1139423779.0,503056.85607064015
WA,23620,12606416379.47,533717.8822806943
WI,17346,9636765301.41,555561.2418661363
WV,3365,1714937562.54,509639.6916909361
WY,2137,981298186.11,459194.28456247074
