SBAOfficeLabel,SBAOfficeCode,LoanNumber,CurrentApprovalAmount
ALABAMA DISTRICT OFFICE,459,10912,5589649883.64
ALASKA DISTRICT OFFICE,1084,2662,1337402360.8
ARIZONA DISTRICT OFFICE,988,15764,8082408409.57
ARKANSAS DISTRICT OFFICE,669,5862,2786873484.21
BALTIMORE DISTRICT OFFICE,373,12874,6654194242.08
BOISE DISTRICT OFFICE,1087,3715,1792603481.34
BUFFALO DISTRICT OFFICE,296,4733,2573701578.75
CEDAR RAPIDS BRANCH OFFICE,736,3476,1980150285.08
CLEVELAND DISTRICT OFFICE,549,15777,8995113871.89
COLORADO DISTRICT OFFICE,811,19668,9986318263.78
COLUMBUS DISTRICT OFFICE,593,16852,9560913483.85
CONNECTICUT DISTRICT OFFICE,156,12882,6661910760.2
DALLAS / FT WORTH DISTRICT OFFICE,610,27859,15146454091.88
DELAWARE DISTRICT OFFICE,341,2991,1514400426.93
DES MOINES DISTRICT OFFICE,761,4820,2660607065.6
EL PASO DISTRICT OFFICE,677,1457,629438659.04
ELMIRA BRANCH OFFICE,206,33,11524054.73
FRESNO DISTRICT OFFICE,942,10172,5129725525.36
GEORGIA DISTRICT OFFICE,405,25791,13026519795.97
HAWAII DISTRICT OFFICE,951,5525,2842973793.45
HOUSTON DISTRICT OFFICE,671,23383,12695401351.56
ILLINOIS DISTRICT OFFICE,507,40737,23150656858.02
INDIANA DISTRICT OFFICE,562,16596,9260692097.17
KANSAS CITY DISTRICT OFFICE,709,8634,4767634487.18
KENTUCKY DISTRICT OFFICE,457,9172,5028394622.22
LOS ANGELES DISTRICT OFFICE,914,40738,21244664254.2
LOUISIANA DISTRICT OFFICE,679,13671,7403278438.61
LOWER RIO GRANDE VALLEY DISTRICT OFFICE,639,3043,1391008043.01
LUBBOCK DISTRICT OFFICE,678,5228,2776513999.34
MAINE DISTRICT OFFICE,172,4184,2064915403.86
MASSACHUSETTS DISTRICT OFFICE,101,24685,13434121009.38
MELVILLE BRANCH OFFICE,235,13316,7098196581.39
MICHIGAN DISTRICT OFFICE,515,29794,16373529718.33
MINNESOTA DISTRICT OFFICE,508,19724,11340999480.35
MISSISSIPPI DISTRICT OFFICE,470,5506,2679084963.0
MONTANA DISTRICT OFFICE,885,3142,1464440837.44
NEBRASKA DISTRICT OFFICE,766,5806,3062711216.84
NEVADA DISTRICT OFFICE,944,8255,4106621418.6
NEW HAMPSHIRE DISTRICT OFFICE,189,5069,2482053056.86
NEW JERSEY DISTRICT OFFICE,299,32518,17421778366.67
NEW MEXICO DISTRICT OFFICE,682,4484,2231725146.55
NEW YORK DISTRICT OFFICE,202,43414,25518634661.13
NORTH CAROLINA DISTRICT OFFICE,460,22798,11065492220.3
NORTH DAKOTA DISTRICT OFFICE,875,3221,1743027636.37
NORTH FLORIDA DISTRICT OFFICE,491,17157,7955737990.35
OKLAHOMA DISTRICT OFFICE,680,9997,5156045339.55
PHILADELPHIA DISTRICT OFFICE,303,26804,14784933172.58
PITTSBURGH DISTRICT OFFICE,358,11700,6542389152.34
PORTLAND DISTRICT OFFICE,1086,14918,7604363379.77
PUERTO RICO AND USVI DISTRICT OFFICE,252,3243,1596940907.88
RHODE ISLAND DISTRICT OFFICE,165,3784,1933198102.74
RICHMOND DISTRICT OFFICE,304,14529,7046317665.44
ROCHESTER BRANCH OFFICE,219,3342,1917268306.62
SACRAMENTO DISTRICT OFFICE,931,9760,4972248592.72
SAN ANTONIO DISTRICT OFFICE,681,15076,7487254899.0
SAN DIEGO DISTRICT OFFICE,954,11489,6118813732.5
SAN FRANCISCO DISTRICT OFFICE,912,32915,18048386885.95
SANTA ANA DISTRICT OFFICE,920,24014,12815532317.26
SEATTLE DISTRICT OFFICE,1013,17406,9487509421.17
SOUTH CAROLINA DISTRICT OFFICE,464,10741,5084591377.68
SOUTH DAKOTA DISTRICT OFFICE,876,2696,1414232355.63
SOUTH FLORIDA DISTRICT OFFICE,455,42856,20183931836.05
SPOKANE BRANCH OFFICE,1094,5399,2619298753.91
SPRINGFIELD BRANCH OFFICE,130,2501,1266757718.57
SPRINGFIELD BRANCH OFFICE,721,2179,1021664052.74
ST. LOUIS DISTRICT OFFICE,768,9972,5472205725.43
SYRACUSE DISTRICT OFFICE,248,8984,4668723814.26
TENNESSEE DISTRICT OFFICE,474,15865,8200295072.1
UTAH DISTRICT OFFICE,883,9258,4778341204.05
VERMONT DISTRICT OFFICE,150,2265,1139423779.0
WASHINGTON DISTRICT OFFICE,353,19151,11076775486.58
WEST VIRGINIA DISTRICT OFFICE,390,3363,1713470887.54
WICHITA DISTRICT OFFICE,767,3756,2211449260.44
WISCONSIN DISTRICT OFFICE,563,17350,9637703529.34
WYOMING DISTRICT OFFICE,897,2139,982021118.11
